Gene	Established_log2.FC.	Established_q_value
Cers3	-0.0900317	1
Adamts17	-0.743568	1
Lysmd4	-0.549801	0.253889
Ttc23	-0.451495	0.336739
Igf1r	0.557357	0.0273876
Fam169b	0.346865	0.815685
Gm5334	0	1
Rgma	-0.22154	0.781473
Fam174b	0.500238	0.598289
Akap13	0.280067	0.504774
Klhl25	-0.142592	0.898866
Agbl1	0	1
Mrps11	-0.00468291	0.997725
Mir7-2	0	1
Aen	0.239465	0.61239
Isg20	-0.00335538	0.998062
Acan	-3.57705	0.00139332
Abhd2	0.465856	0.10831
Fanci	-0.670307	0.571961
Mir9-3	0	1
Ticrr	-0.313507	0.766214
Wdr93	-0.755076	1
Mesp2	-1.19722	1
Zfp710	0.396555	0.41543
Sema4b	0.83391	0.0172429
Gdpgp1	0.100088	0.972751
Ttll13	-0.304003	1
Ngrn	-0.444083	0.359199
Vps33b	-0.046198	0.986649
Prc1	-0.583645	0.0185666
Hddc3	-1.14954	0.0166401
Zscan2	-0.293775	0.823678
Zfp592	0.293517	0.507309
Alpk3	0.939826	1
Pde8a	-0.0676395	0.956961
Mir1839	0	1
Whamm	0.326757	0.708486
Fam103a1	0.106184	0.91863
Tm6sf1	0.985259	0.846492
Sh3gl3	-0.119234	0.962685
Adamtsl3	-0.296075	0.418724
Eftud1	0.149473	0.882699
Mex3b	0.256795	0.738344
Stard5	-0.37975	0.303781
Mesdc2	-0.112868	0.9145
Olfr291	0	1
Olfr290	0	1
Vmn2r71	0	1
Olfr301	0	1
Olfr299	0	1
Olfr297	0	1
Olfr295	0	1
Olfr293	0	1
Olfr292	0	1
Vmn2r77	0	1
Vmn2r78	0	1
Ctsc	1.1211	0.00139332
Rab38	0.11975	0.964051
Fzd4	-0.825651	0.00457135
Me3	-0.147145	0.964207
Picalm	0.389118	0.216395
Sytl2	-0.355146	0.402219
Ccdc89	-0.476488	0.722477
Crebzf	0.190036	0.793993
Dlg2	-0.0137966	0.996918
Ccdc90b	-0.224111	0.754073
Rab30	0.444525	0.524551
Prcp	-0.15864	0.815995
Fam181b	1.95454	0.0263428
Tenm4	-1.31451	0.00139332
Mir708	0	1
Nars2	0.0575053	0.981073
Gab2	0.692512	0.0542852
Kctd21	-0.283968	0.775238
Alg8	-0.0618597	0.971457
Ndufc2	-0.0980476	0.929695
Kctd14	-1.23166	0.143159
Ints4	0.00971158	0.995973
Rsf1	0.100048	0.927869
Clns1a	-0.0165146	0.994035
Pak1	-0.0428887	0.979033
Gdpd4	1.54705	1
Gucy2d	-1.43807	1
Lrrc32	0.679237	0.0119662
Prkrir	-0.0777017	0.942235
Wnt11	1.02327	0.0748171
Map6	0.0696685	0.962685
Gdpd5	0.517556	0.271636
Klhl35	-1.09366	0.261976
Arrb1	0.0700184	0.970049
Mir326	0	1
Olfr521	0	1
Xrra1	-0.647096	0.932811
Lipt2	-0.297617	0.844065
Kcne3	-0.0847456	0.994256
Pgm2l1	0.576561	0.228062
P4ha3	-0.465293	0.0764929
C2cd3	-0.175622	0.843391
Ucp3	-0.192623	1
Ucp2	0.313967	0.664367
Coa4	-0.282894	0.815685
Rab6a	0.0638612	0.962685
Fam168a	-0.0590511	0.963912
Fchsd2	0.0840358	0.947129
Stard10	0.015589	0.995881
Arap1	0.393821	0.264683
Pde2a	1.15422	0.00364343
Mir139	0	1
Clpb	-0.209967	0.729952
Phox2a	1.80051	1
Anapc15	-0.223688	0.801142
Lamtor1	-0.0506239	0.974017
Numa1	-0.115321	0.918643
Trpc2	-0.310015	0.715708
Art1	1.58939	1
Pgap2	-0.168223	0.931499
Stim1	-0.0435747	0.979033
Rrm1	-0.303806	0.39593
Olfr547	0	1
Olfr550	0	1
Olfr552	0	1
Olfr554	0	1
Olfr555	0	1
Olfr557	0	1
Olfr561	0	1
Olfr564	0	1
Olfr568	0	1
Olfr570	0	1
Olfr572	0	1
Olfr574	0	1
Olfr576	0	1
Olfr582	0	1
Olfr583	0	1
Olfr584	0	1
Olfr585	0	1
Olfr592	0	1
Olfr593	0	1
Olfr594	0	1
Olfr596	0	1
Olfr597	0	1
Olfr598	0	1
Olfr599	0	1
Usp17lc	0	1
Olfr606	0	1
Olfr608	0	1
Olfr613	0.503176	0.566271
Olfr615	0	1
Olfr617	0	1
Olfr618	0	1
Olfr619	0	1
Olfr243	0	1
Olfr628	0	1
Olfr65	0	1
Olfr631	0	1
Olfr632	0	1
Olfr633	0	1
Olfr635	0	1
Olfr638	0	1
Olfr641	0	1
Olfr646	0	1
Trim6	0.236225	1
Trim34a	1.20543	0.0126716
Olfr651	0	1
Olfr652	0	1
Olfr653	0	1
Olfr654	0	1
Olfr656	0	1
Olfr657	0	1
Olfr659	0	1
Olfr661	0	1
Olfr663	0	1
Usp17la	0.869537	1
Olfr669	0	1
Olfr676	0	1
Olfr677	0	1
Olfr678	0	1
Olfr679	0	1
Olfr681	0	1
Olfr688	0	1
Gm5901	0.141725	0.994961
Cnga4	-0.698066	1
Cckbr	0	1
Smpd1	0.164693	0.796898
Timm10b	-0.167133	0.854966
Ilk	0.350579	0.401388
Gm15645	-0.203553	0.931066
Olfr703	0	1
Olfr704	0	1
Olfr1532-ps1	0	1
Olfr713	0	1
Olfr714	0	1
Olfr17	0	1
Olfr716	0	1
Nlrp14	0	1
Syt9	-1.39536	1
Olfml1	-1.87267	0.020323
Ppfibp2	0.33179	0.848116
Olfr467	0	1
Olfr472	0	1
Olfr474	0	1
Olfr476	0	1
Olfr477	0	1
Olfr479	0	1
Olfr481	0	1
Olfr483	0	1
Olfr491	0	1
Olfr494	0	1
Olfr495	0	1
Olfr497	0	1
Olfr498	0	1
Olfr503	0	1
Olfr506	0	1
Olfr507	0	1
Olfr508	0	1
Olfr510	0	1
Olfr512	0	1
Olfr513	0	1
Eif3f	-0.120312	0.881889
Tub	-1.51142	1
Rpl27a	-0.208361	0.711218
Akip1	-0.450041	0.310725
Ipo7	0.315929	0.408224
Zfp143	0.137481	0.913
Wee1	-0.455361	0.240119
Swap70	0.108721	0.905681
Adm	1.07228	0.00139332
Ampd3	1.00753	0.00139332
Ctr9	0.0897402	0.931183
Usp47	0.148061	0.825169
Mical2	0.390624	0.186366
Micalcl	0.967053	0.271435
Parva	0.165716	0.779029
Rassf10	-0.316057	1
Arntl	0.8181	0.00139332
Far1	0.0918966	0.929673
Spon1	-1.09494	0.00139332
Pde3b	-0.171707	0.857325
Insc	0.314323	0.844065
1110004F10Rik	-0.04121	0.979033
Nucb2	0.186642	0.750532
Xylt1	-0.371879	0.520475
Ccp110	-0.246176	0.747216
9030624J02Rik	0.0468437	0.977808
Iqck	-0.073507	0.996124
Acsm5	0	1
Acsm1	0	1
Acsm4	0	1
Acsm3	-0.69194	1
2610020H08Rik	-0.271045	0.868604
Lyrm1	0.10269	0.973446
Tmem159	0.348984	0.411173
Anks4b	0	1
Abca14	0	1
Abca15	0	1
E130201H02Rik	1.93434	1
Uqcrc2	-0.0393511	0.979907
BC030336	0.233824	0.894149
Vwa3a	-0.303023	1
Eef2k	0.203208	0.766846
Polr3e	0.358725	0.40685
4933427G17Rik	-0.822559	1
Mettl9	-0.185133	0.770537
Otoa	-0.114568	1
Ubfd1	0.096784	0.918643
Dctn5	-0.0713287	0.95458
Plk1	-0.769489	0.00254281
Chp2	0	1
Prkcb	0.94041	0.0947393
Cacng3	0	1
Rbbp6	0.317121	0.487016
Tnrc6a	0.012662	0.995109
Slc5a11	-1.81218	1
Lcmt1	0.00167646	0.998522
4930571K23Rik	0	1
Kdm8	-0.196226	0.896912
Il4ra	-0.582613	0.0316133
Il21r	2.03498	0.0139991
D430042O09Rik	-0.0847941	0.964051
Sbk1	-0.193243	0.846582
Rabep2	-0.11835	0.930169
Tufm	-0.0761104	0.948283
Apobr	0.83321	0.00254281
Ccdc101	-0.231562	0.825442
Bola2	-0.213036	0.807415
Mapk3	-0.0666395	0.956114
Ypel3	-0.138864	0.877637
Tbx6	-0.297122	0.914151
Fam57b	0.426917	1
Doc2a	0.216341	0.972169
Hirip3	-0.543631	0.525709
Kctd13	-0.343986	0.680788
Sez6l2	-0.655486	1
Cdipt	0.112557	0.896226
AI467606	0.689371	0.556742
Mylpf	0.868413	0.19324
Zfp553	-0.184723	0.831507
Zfp771	-0.0675927	0.979033
Itgal	1.20237	0.0126716
Prr14	0.115531	0.902641
Fbrs	0.340893	0.410727
Phkg2	0.0422105	0.992015
Rnf40	0.048169	0.978858
Mir762	0	1
Ctf1	-0.051772	0.990772
Setd1a	0.41322	0.209129
Hsd3b7	0.251404	0.701346
Stx4a	0.198901	0.742278
Zfp646	0.236755	0.747266
Bckdk	-0.149209	0.837442
Kat8	-0.0527577	0.981073
Fus	0.0814163	0.937028
Trim72	0.903883	0.343413
Itgam	1.59906	0.00139332
Itgax	1.56156	0.0395371
Itgad	-0.052429	1
Armc5	0.13651	0.910095
Slc5a2	0.837257	1
Bag3	-0.055481	0.966321
Inpp5f	0.011909	0.995582
Sec23ip	0.0638087	0.961372
Wdr11	-0.101533	0.917703
Tacc2	0.284372	0.540944
Btbd16	0.221481	1
Plekha1	0.204294	0.735144
Htra1	0.585616	0.0365415
5430419D17Rik	0.826628	1
Pstk	-0.0370753	0.990555
Acadsb	-0.15601	0.813172
Bub3	-0.162502	0.794107
Gpr26	-2.17522	1
Gm10584	0.651108	1
Lhpp	-0.231593	0.806985
Fam175b	-0.0558699	0.972233
Zranb1	-0.0253136	0.995582
Bccip	0.0129668	0.995881
Fank1	-0.383882	1
Dock1	-0.0937982	0.924806
Nps	0.0192415	1
Ptpre	0.970391	0.00800689
Mir1962	0	1
Mgmt	0.0442255	0.983943
Glrx3	-0.0158344	0.994256
Ppp2r2d	0.0166815	0.994764
Jakmip3	-0.328307	1
Dpysl4	0.270679	0.921098
Lrrc27	0.666591	0.253674
Pwwp2b	-0.095826	0.962573
Inpp5a	0.10282	0.930917
Gpr123	-0.252692	1
Kndc1	0.689962	1
6430531B16Rik	0.0569387	1
Zfp511	-0.103944	0.949503
Paox	-0.743219	0.0708025
Mtg1	-0.217603	0.858648
Olfr523	0	1
Cd163l1	0	1
5830411N06Rik	0	1
Olfr525	0	1
Olfr527	0	1
Olfr533	0	1
Olfr535	0	1
Olfr538	0	1
Olfr46	0	1
Olfr61	0	1
Olfr53	0	1
Olfr539	0	1
Olfr45	0	1
Olfr541	0	1
Cyp2e1	-0.217135	1
Scgb1c1	0	1
Ric8	0.0845428	0.939245
Psmd13	-0.127203	0.868604
BC024386	0	1
Athl1	-0.0692971	0.963912
Ifitm1	-0.425488	0.822687
B4galnt4	-0.819284	1
Pkp3	2.42467	1
Ptdss2	-0.154129	0.860425
Lrrc56	-0.625677	0.49725
Rassf7	0.0257505	0.99548
Phrf1	0.158134	0.817862
Drd4	-0.348389	0.893036
Tmem80	-0.223109	0.922534
Eps8l2	-0.115083	0.952977
Taldo1	0.0606058	0.964866
Rplp2	-0.269641	0.508033
Snora52	0.975004	1
Pnpla2	0.1936	0.849015
Cd151	0.381471	0.250175
Tspan4	-0.482673	0.23389
Ap2a2	0.0970405	0.913095
Muc2	1.78086	1
Krtap5-3	0	1
Krtap5-4	0	1
Syt8	-0.876945	0.411063
Tnni2	0.169176	0.966075
Lsp1	-0.120741	0.894893
Tnnt3	0.575256	0.828509
Mrpl23	-0.24288	0.708328
Tspan32	1.83962	0.0412792
Cd81	0.237259	0.600678
Tssc4	-0.0981455	0.939454
Kcnq1	0.0347605	1
Slc22a18	0.0616247	0.989326
Dhcr7	-0.0684925	0.964051
Shank2	0.457623	0.750894
Fgf4	0	1
Oraov1	-0.286572	0.677401
Mrgprf	-0.0822021	0.94662
AU018091	0.447675	1
Tarm1	0.356088	0.899072
Oscar	0.864443	0.179081
Tfpt	0.00404425	0.997727
Lair1	1.06249	0.0907887
9430041J12Rik	-0.739191	1
D030047H15Rik	-0.437838	1
Leng9	-0.469531	0.952433
Cdc42ep5	0.287324	0.667866
Gp6	0	1
Rdh13	0.20908	0.79314
Ppp1r12c	0.134979	0.869623
Tnnt1	0.401413	0.79868
Syt5	0.0934094	0.981906
Tmem86b	0.293803	0.908647
Ppp6r1	-0.00587748	0.996918
Hspbp1	0.0271507	0.992015
Tmem150b	0.276424	0.970485
Cox6b2	-0.174396	0.937028
Il11	0.00589343	0.997725
Tmem238	-0.444253	0.808282
Ube2s	-0.132024	0.861919
Shisa7	-0.522405	1
Isoc2b	-0.531563	0.443328
Sbk2	0.253166	1
Zfp579	-0.164195	0.937028
Fiz1	-0.0568563	0.97826
Rasl2-9	0.504354	1
Vmn1r55	0	1
Vmn1r56	0	1
Vmn1r58	0.333226	0.883334
Vmn1r59	0	1
Vmn1r60	0	1
Vmn1r61	0	1
Vmn1r64	0	1
Zfp787	0.082508	0.964051
Zfp583	-0.208135	0.899226
Olfr5	0	1
Olfr1347	0	1
Olfr1348	0	1
Olfr1349	0	1
Zim1	0.103457	1
Zfp954	-0.14956	0.905365
Zfp773	0.731413	1
Vmn2r29	-0.761435	0.951333
Clcn4-2	0.187209	0.777027
Vmn2r31	0	1
Vmn2r32	0	1
Vmn2r33	0	1
Vmn2r34	0	1
Vmn2r48	0	1
Vmn2r49	0	1
Vmn2r50	0	1
Vmn2r51	0	1
Vmn2r52	0	1
Vmn1r66	0	1
Zik1	-0.279457	0.745882
Vmn1r68	0	1
Vmn1r69	0	1
Vmn1r71	0	1
Zscan4a	0	1
Zscan4b	0	1
Vmn1r72	0	1
Vmn1r76	0	1
Vmn1r81	0	1
Vmn1r83	0	1
Vmn1r84	0	1
Zfp551	-0.135357	0.953837
Vmn2r53	0	1
Vmn2r55	0	1
Vmn2r56	0	1
Slc27a5	-0.469416	1
Zbtb45	-0.260944	0.759359
Chmp2a	-0.110956	0.901053
Ube2m	0.0521422	0.972233
Mzf1	-0.409868	0.795455
Vmn1r85	0	1
Vmn1r86	0	1
Vmn1r87	0	1
6330408A02Rik	-0.167902	0.968242
Bsph2	0	1
Sult2a1	0	1
Sult2a4	0	1
Sult2a3	0	1
Sult2a6	0	1
Sult2a7	0	1
Obox3	0	1
Crx	0	1
Sepw1	-0.150143	0.819721
Gltscr2	-0.255576	0.559298
Snord23	0	1
Ehd2	0.236827	0.626352
Gltscr1	0.35333	0.43951
Dhx34	-0.192273	0.874908
C5ar2	0.482685	1
C5ar1	1.31672	0.00139332
Sae1	-0.111083	0.894149
Npas1	-0.0108931	1
Ceacam-ps1	0	1
Ceacam15	0	1
Fkrp	0.0521281	0.987882
Calm3	-0.115106	0.890102
Ppp5c	-0.0222688	0.992015
Hif3a	-0.125482	1
Psg18	0	1
Psg28	0	1
Psg26	0	1
Psg25	0	1
Psg27	0	1
Psg23	0.436953	1
Psg21	0	1
Psg17	1.51761	1
Ccdc61	-0.00267966	0.998522
Foxa3	0.140793	1
Qpctl	-0.0047874	0.997725
Vasp	0.329859	0.318393
Fosb	1.15138	0.0674934
Cd3eap	0.228726	0.820023
Klc3	0.757912	0.512379
Mark4	0.201086	0.739795
Bloc1s3	-0.0883691	0.966132
Clasrp	-0.0741363	0.965711
Relb	1.07757	0.00139332
Clptm1	0.0912528	0.927606
Apoc4	0	1
Apoe	-1.85204	0.00139332
Tomm40	0.151346	0.830353
Pvrl2	0.307275	0.434017
Bcam	0.320192	0.791419
Ceacam16	-0.372267	1
Ceacam19	2.26048	1
Pvr	0.890925	0.00139332
Igsf23	-0.977046	1
Gm16442	0	1
Vmn1r94	0	1
Vmn1r101	0	1
Gm10670	0	1
Vmn1r103	0	1
Gm4567	0	1
Vmn1r114	0	1
Vmn1r115	0	1
Vmn1r117	0	1
Vmn1r118	0	1
Vmn1r119	0	1
Vmn1r120	0	1
Vmn1r121	0	1
Vmn1r122	0	1
Vmn1r124	0	1
Vmn1r126	0	1
Vmn1r127	0	1
Vmn1r129	0	1
Gm4214	0	1
Gm4216	0	1
Gm5725	0	1
Gm16451	0	1
Vmn1r142	0	1
Vmn1r149	0	1
Gm10665	0	1
Vmn1r151	0	1
Vmn1r158	0	1
Vmn1r159	0	1
Gm4175	0	1
Gm4177	0	1
Gm8720	0	1
Vmn1r167	0	1
Vmn1r175	0	1
Vmn1r176	0	1
Vmn1r177	0	1
Zfp111	-0.105288	0.942645
Zfp109	-0.178639	0.910513
Zfp61	-0.250936	0.790546
Zfp94	-0.436112	0.685786
Tescl	-1.30459	0.334715
Zfp575	0.494487	0.880374
Tex101	0	1
Cd177	-1.92877	0.0713036
Rabac1	-0.282025	0.493777
Grik5	0.217835	0.861919
Pou2f2	1.08328	0.30776
Dedd2	0.648557	0.428066
Pafah1b3	0.0773972	0.962685
Lipe	-0.23327	0.892982
Cxcl17	-2.06668	0.838516
Ceacam1	0.923498	0.888661
Ceacam2	0	1
Bckdha	-0.133201	0.884622
Tmem91	-0.718055	1
Cyp2s1	1.25662	0.0503747
Nlrp9c	0	1
Vmn1r185	0	1
Cyp2b23	0	1
Cyp2a22	0	1
Egln2	-0.0224074	0.992015
Rab4b	-0.215195	0.713195
Mir3101	0	1
Mia	0.400626	0.930684
Snrpa	-0.0981907	0.928709
Itpkc	0.121385	0.931066
Ltbp4	-0.57148	0.0542852
Shkbp1	-0.133483	0.911338
Sptbn4	0.411419	0.92412
Pld3	0.0694602	0.95458
1700049G17Rik	-0.508674	0.425835
Zfp780b	-0.167999	0.889683
Psmc4	0.0254783	0.990555
Dll3	-0.143385	1
Timm50	-0.126643	0.897928
Supt5	0.0341664	0.982588
Plekhg2	0.344513	0.354276
Zfp36	0.814391	0.0667679
Med29	0.0874692	0.986649
Samd4b	0.35771	0.264575
Ifnl2	0	1
Pak4	0.0296725	0.99069
Mrps12	-0.134005	0.910965
Nfkbib	0.432489	0.356732
Actn4	0.275883	0.540945
Eif3k	-0.0321025	0.985166
Ryr1	0.727537	1
Mir1963	0	1
Fam98c	-0.059595	0.98924
Spred3	0.65385	0.0992317
Psmd8	0.373597	0.227583
Catsperg1	-0.960832	1
Kcnk6	0.145553	0.940196
2200002D01Rik	0.333411	0.95458
Spint2	2.04594	0.00139332
Sipa1l3	0.621317	0.0620384
Zfp940	-0.00760604	0.997725
Zfp27	-0.102024	0.954522
Zfp74	-0.00136211	0.998522
Zfp14	-0.333003	0.789621
Zfp82	-0.192598	0.924299
Zfp566	0.303787	0.836184
Zfp146	0.00404631	0.997725
Capns1	-0.00745197	0.996211
Tbcb	-0.209798	0.768034
Wdr62	-0.386724	0.590597
Sdhaf1	-0.281901	0.756515
Lrfn3	-0.302465	0.681221
Aplp1	-0.122814	0.902641
Arhgap33	-0.31957	0.693
Lin37	-0.019586	0.994961
Psenen	-0.0972248	0.93145
Zbtb32	0.119108	1
Upk1a	0.604379	0.713195
Cox6b1	-0.111048	0.893189
Tmem147	-0.246083	0.617279
Ffar3	0	1
Ffar1	0	1
Cd22	1.95557	1
Mag	1.49197	1
Hamp2	0	1
Usf2	0.00146148	0.998522
Hamp	0	1
Fxyd5	0.224702	0.704163
Fxyd7	-1.2736	1
Fxyd1	-1.64591	0.00139332
Fxyd3	-0.458832	0.980982
Hpn	0.30906	1
Scn1b	-0.0216598	0.992653
Gramd1a	-0.132545	0.881889
Scgb1b2	0	1
Scgb2b19	0	1
Scgb2b24	0	1
Scgb2b26	0	1
Scgb2b27	0	1
Wtip	0.0323298	0.990555
Uba2	0.00244917	0.997917
Pdcd2l	0.0410044	0.989326
Gpi1	0.306229	0.415098
4931406P16Rik	0.616481	0.0233562
Lsm14a	-0.00229484	0.997917
Kctd15	-0.152312	0.871153
Chst8	-0.0606852	1
Cebpg	-0.0393137	0.985426
Lrp3	-0.729313	0.0729776
Gpatch1	-0.109031	0.943128
C230052I12Rik	-0.533704	0.306764
Tdrd12	-0.835098	1
Nudt19	-0.134571	0.910513
Rgs9bp	-0.772855	1
Pdcd5	-0.00528973	0.997647
Dpy19l3	-0.132283	0.864123
Zfp507	0.0475768	0.979033
Zfp536	1.044	0.0422701
Uri1	-0.0730728	0.95373
Ccne1	-0.158719	0.861919
Plekhf1	-0.169053	0.817862
Pop4	0.213864	0.773883
Gm5591	0	1
Gm5114	0	1
Vmn2r57	-0.709245	1
Vmn2r58	0	1
Vmn2r59	0	1
Vmn2r-ps60	0	1
4933421I07Rik	0	1
Gm5595	-0.143343	0.939245
Vmn2r62	0	1
Vmn2r63	0	1
Zfp715	0.524626	0.133776
Iglon5	0.417486	0.596934
4931406B18Rik	0	1
Cd33	1.55538	0.0321107
Siglece	1.80306	0.0691831
1700028J19Rik	0.157298	0.99069
Acpt	0	1
Clec11a	-1.32328	0.00139332
1700008O03Rik	0.645468	1
Emc10	-0.122312	0.875608
Mybpc2	-0.978038	1
Spib	2.00319	1
Pold1	-0.265085	0.682771
Nr1h2	-0.0249054	0.992001
Myh14	-0.23916	1
Zfp473	-0.514909	0.747266
Atf5	-0.220262	0.71603
Tbc1d17	-0.0828793	0.991047
Ptov1	-0.174341	0.80306
Med25	-0.0841631	0.94662
Ap2a1	-0.0552286	0.967999
Cpt1c	-0.0236625	0.991906
Prmt1	0.078996	0.940196
Bcl2l12	-0.285741	0.896944
Scaf1	0.0691277	0.966132
Prr12	-0.140772	0.895264
Prrg2	-0.21208	0.83209
Rcn3	-0.110129	0.915016
Fcgrt	-0.193485	0.709494
Rps11	-0.118573	0.884863
Snord35b	0	1
Snord35a	0	1
Snord34	0	1
Snord32a	0	1
Flt3l	-0.2239	0.893036
Aldh16a1	-0.375064	0.607679
Ccdc155	-0.381547	1
Dkkl1	-1.48017	1
Cd37	0.623762	0.358389
Trpm4	-0.126222	0.922473
Ppfia3	-0.297526	0.909615
Lin7b	-0.198877	0.983701
Snrnp70	0.0583484	0.964525
Ruvbl2	-0.0214296	0.995736
Ftl1	0.176625	0.831131
Bax	0.227681	0.641751
Dhdh	0.194005	0.937028
Nucb1	-0.0502273	0.973496
Ppp1r15a	0.77161	0.00139332
0610005C13Rik	-1.58042	1
Fgf21	0.718468	0.446527
Fut2	-0.779085	1
Sphk2	-0.152888	0.875934
Sult2b1	-0.733093	0.714999
Cyth2	0.204733	0.744926
Kcnj14	0.440992	1
Grwd1	0.107112	0.929294
Grin2d	0.177025	0.902641
Syngr4	-1.37692	0.274133
Emp3	0.118337	0.884953
Kcnj11	1.5431	1
Sergef	-0.0414415	0.990555
Saa3	5.57876	0.00139332
Tph1	-0.274826	1
Saal1	-0.204078	0.823678
Hps5	0.0939907	0.937028
Tsg101	0.100247	0.920852
Uevld	-0.418396	0.322279
Spty2d1	0.398655	0.242249
Ptpn5	0.311429	1
Mrgpra2a	0	1
Mrgpra2b	0	1
Mrgpra3	0	1
Mrgpra4	0	1
Mrgprx1	0	1
Mrgprb5	0	1
Mrgprb4	0	1
Mrgprb1	0	1
Mrgprx2	0	1
Mrgprb3	0	1
Csrp3	0.459762	1
E2f8	0.0308524	0.992001
Fancf	-0.0169202	0.995582
Svip	0.492104	0.750392
1700015G11Rik	0	1
Nipa2	0.150413	0.944654
Nipa1	0.320198	0.666269
Gabrg3	2.00463	1
A230073K19Rik	0.104542	0.965026
C230091D08Rik	0.0417899	0.992015
Mir344d-1	0	1
Mir344d-2	0	1
Mir344d-3	0	1
Mir344e	0	1
Mir344c	0	1
Mir344	0	1
Mir344-2	0	1
Mir344f	0	1
Mkrn3	-0.0689576	1
Peg12	-0.179178	0.907182
Chrna7	-0.708397	1
Klf13	0.0883216	0.934612
Fan1	-0.0677999	0.979033
Mphosph10	0.172909	0.804489
Fam189a1	-0.356755	1
Ndnl2	-0.136847	0.890371
Tjp1	0.136659	0.853926
Lrrk1	0.247344	0.64962
Aldh1a3	-0.73592	0.0263428
Asb7	-0.0320856	0.990555
Mef2a	0.708814	0.00546107
Lrrc28	0.0416165	0.985544
Synm	-0.763693	0.0336796
Pgpep1l	1.07102	0.321515
Arrdc4	0.144521	0.881889
Nr2f2	0.638126	0.0511872
Mctp2	-1.40425	0.0126716
Gm4971	0	1
St8sia2	-0.97107	0.00139332
Slco3a1	0.708864	0.0361207
Sv2b	0.195363	1
Ntrk3	-0.893121	0.00800689
E430016F16Rik	-0.136782	0.974002
Mrpl46	-0.0642481	0.979033
Det1	-0.226229	0.811163
Hapln3	-0.795313	0.576783
Mfge8	0.166599	0.783951
Rlbp1	0.306631	1
Polg	-0.0320805	0.99069
Kif7	-0.435886	0.612983
Pex11a	0.203215	0.904938
Anpep	-1.55095	0.00139332
Ap3s2	-0.11171	0.979033
2610034B18Rik	-0.477316	0.164283
Idh2	-0.491177	0.0799531
Cib1	0.0697046	0.966919
Rccd1	0.081817	0.97521
Unc45a	0.0511989	0.97826
Man2a2	-0.147939	0.831221
Fes	0.293997	0.623021
Furin	0.0812428	0.937028
Blm	-0.427442	0.405467
Crtc3	0.0231207	0.992357
Iqgap1	0.350463	0.296405
Wdr73	-0.0455455	0.986649
Nmb	0.198112	0.951689
Sec11a	-0.0737079	0.950085
Rps17	-0.159949	0.80114
Cpeb1	0.482892	0.270627
Ap3b2	0.636584	1
BC048679	0	1
Fsd2	1.34676	1
Homer2	0.674725	0.352426
3110040N11Rik	-0.239215	0.800789
Btbd1	-0.0645778	0.962339
Hdgfrp3	-0.196553	0.802706
Bnc1	3.22233	0.00546107
Fam154b	-0.131174	0.99069
Il16	-0.939766	0.0227291
1700026D08Rik	0.356338	1
Mesdc1	0.119234	0.9673
Arnt2	0.453972	0.325321
Fah	-0.302621	0.503328
Zfand6	0.0594613	0.970049
Vmn2r65	0	1
Vmn2r66	0	1
Vmn2r67	0	1
Vmn2r68	0	1
Vmn2r69	0	1
Vmn2r70	0	1
Vmn2r72	0	1
Vmn2r73	0	1
Vmn2r74	0	1
Vmn2r75	0	1
Vmn2r76	0	1
Olfr310	0	1
Olfr309	0	1
Olfr308	0	1
Olfr307	0	1
Olfr305	0	1
Olfr304	0	1
Olfr303	0	1
Olfr298	0	1
Olfr294	0	1
Tyr	-0.252799	1
Tmem135	0.155531	0.861919
Prss23	0.403963	0.206902
Ccdc81	0.00143662	1
l7Rn6	-0.213865	0.748686
Eed	0.131006	0.894217
Tmem126a	0.0197353	0.993849
Tmem126b	-0.143245	0.919529
Ankrd42	-0.049143	0.987203
Pcf11	0.434054	0.210309
4632427E13Rik	0.318554	0.931066
Usp35	0.147174	0.935792
Aamdc	-0.282836	0.771498
Aqp11	-0.060059	0.993023
Myo7a	0.307306	0.482282
Capn5	0.456162	0.355207
Omp	-0.561029	1
B3gnt6	-1.66931	1
Acer3	0.216101	0.744662
Tsku	0.586009	0.0166401
2210018M11Rik	0.0459012	0.980982
Uvrag	0.542835	0.0907887
Dgat2	-0.163098	0.868604
Mogat2	-0.2441	0.793851
Serpinh1	-0.214596	0.824064
Rps3	-0.162911	0.824362
Snord15b	-0.516037	0.966228
Gm4980	0.216008	0.94359
Slco2b1	0.342068	1
Neu3	-0.400137	0.64974
Spcs2	-0.0210924	0.992015
Rnf169	0.05508	0.976847
Pold3	-0.387135	0.399033
Ppme1	0.0940716	0.928453
Dnajb13	1.92787	1
Mrpl48	-0.148733	0.978858
Plekhb1	1.20242	0.0612642
Relt	-0.0847641	0.961918
Arhgef17	0.509085	0.0515519
Mir3102	0	1
P2ry6	1.32484	0.00546107
P2ry2	0.584223	0.364805
Atg16l2	0.360641	0.698167
Inppl1	0.0563741	0.966132
Folr2	0.549496	0.425835
Folr1	1.0148	1
Tomt	0.240667	0.992015
Lrrc51	-0.691802	0.259824
Art5	3.22392	1
Chrna10	-1.18616	1
Nup98	0.119237	0.90662
Rhog	0.168585	0.858395
Olfr543	-1.38311	1
Trim21	0.776581	0.0717355
Olfr551	0	1
Olfr553	0	1
Trim68	-0.22319	0.845329
Olfr33	0	1
Olfr559	0	1
Olfr566	0	1
Olfr569	0	1
Olfr571	0	1
Olfr575	0	1
Olfr577	0	1
Olfr578	0	1
Olfr586	0	1
